,Условное обозначение Ziehl-Abegg,Каталожный номер,specific products,Типоразмер,Расход воздуха,Статическое давление,"Давление, динамическое",Суммарное давление,Класс SFP,Значение SFP,"Электрическая мощность, потребляемая системой",Суммарный КПД системы,"КПД системы, статич.",Потребляемая электрическая мощность,Суммарный КПД,"КПД системы, статич.1",Мощность на валу,"Мощность на валу, макс.",Суммарный КПД рабочего колеса,"КПД рабочего колеса, статич.",Частота вращения вентилятора,"Уровень звуковой мощности на стороне всасывания, ненормированный","Уровень звуковой мощности на стороне всасывания, характеристика А","Уровень звуковой мощности на стороне нагнетания, ненормированный","Уровень звуковой мощности на стороне нагнетания, характеристика А",частоты октавной полосы,"Уровень звуковой мощности на стороне всасывания, ненормированный1","Уровень звуковой мощности на стороне всасывания, характеристика А1","Уровень звуковой мощности на стороне нагнетания, ненормированный1","Уровень звуковой мощности на стороне нагнетания, характеристика А1",Частота в рабочей точке,Напряжение в рабочей точке,Ток в рабочей точке,Коэфф. k для давления в сопле,Дифф. давление в сопле,Расход воздуха при питании от сети,Статическое давление при питании от сети,Суммарное давление при питании от сети,Плотность перемещаемой среды,Тип электропривода,Напряжение сети,Схема соединений,Номинальная частота,Потребляемая электрическая мощность1,Выходная мощность,Номинальный ток,Номинальная частота вращения,Макс. допустимая температура перемещаемой среды,КПД,производительность,производительность1,Степень защиты,Класс нагревостойкости изоляции,"Частота, макс.",Сеть электропитания,Ширина,Высота,Глубина,Масса изделия,защитная решетка и ее влияние включены,Группа продукции,корпус/рабочее колесо,Кол-во вентиляторов,Тип двигателя,Установленная мощность
86,GR31CZID.DG.CR,179078/A01,Portfolio STDWW G1,315,4400,1719,96,1815,5,2766,3381,65.6,62.1,,,,,,,,4013,88,86,95,94,"63,125,250,500,1000,2000,4000,8000","75.46,72.13,75.15,84.74,79.39,79.41,77.03,74.59","49.57,56.15,67.69,81.45,79.37,80.58,78.02,73.51","77.91,76.56,79.52,87.67,88.85,89.09,84.86,80.69","52.85,61.15,71.67,84.30,89.06,90.25,85.83,79.74",50,400,5.17,95,2145,4608,1885,1991,1.16,3,400,,50,3.9,,,4200,40,"65,6","69,9",62,54,155,,3~ 400V 50Hz ,450,450,340,22,Нет,Cpro,0.0,1,EC,3.9
87,GR40IZID.GG.CR,116897/A01,Portfolio STDWW G1,400,9000,300,66,366,3,842,2106,43.4,35.6,,,,,,,,2592,91,86,96,94,"63,125,250,500,1000,2000,4000,8000","80.10,80.79,84.82,84.34,76.60,75.26,71.52,84.53","55.11,65.03,76.49,80.50,76.38,76.42,72.48,82.35","81.40,84.23,88.79,88.57,87.89,87.39,83.66,87.54","55.84,69.48,79.81,85.46,87.77,88.54,84.62,85.63",50,400,3.26,180,2500,9982,369,450,1.16,3,400,,50,3.7,,,2860,55,"72,7","77,3",62,55,155,,3~ 400V 50Hz ,550,550,458,34,Нет,ZAbluefin,0.0,1,EC,3.7
88,GR40IZID.GG.CR,116897/A01,Portfolio STDWW G1,400,10000,1200,20,1220,4,1856,5156,65.7,64.7,,,,,,,,2555,89,83,96,94,"63,125,250,500,1000,2000,4000,8000","74.97,79.71,85.97,80.36,75.37,76.78,71.77,67.53","48.30,65.97,75.91,76.41,75.26,77.95,72.78,66.57","79.24,85.10,93.08,86.34,86.11,89.02,84.66,78.69","53.42,71.32,82.77,83.16,86.14,90.19,85.63,77.85",50,400,7.93,180,772,11191,1503,1528,1.16,3,400,,50,3.7,,,2860,55,"72,7","77,3",62,55,155,,3~ 400V 50Hz ,550,550,458,34,Нет,ZAbluefin,0.0,2,EC,7.4
89,ER45C2DN.G7.CR*,130588/2141,Portfolio STDWW G1,450,21000,1500,135,1635,5,2327,13576,70.2,64.5,13168.0,72.4,66.4,11941.0,12137.0,79.9,73.3,2855,96,91,100,98,"63,125,250,500,1000,2000,4000,8000","79.76,78.09,93.77,87.70,82.09,82.11,79.28,77.25","54.59,61.90,87.08,83.99,82.01,83.25,80.24,75.97","85.71,83.97,95.89,93.99,93.83,88.49,84.77,81.53","60.01,68.00,89.11,91.20,93.76,89.61,85.74,80.47",48,387,,197,2841,21690,1600,1744,1.16,3,400,D,50,,7.5,13.1,2950,40,"69,2","70,5",62,55,155,50.0,3~ 400V 50Hz D,650,630,756,88,Нет,Cpro,0.0,2,AC,15.0
90,GR45IZID.GG.CR,116903/A01,Portfolio STDWW G1,450,12000,1600,18,1618,5,2596,8652,62.3,61.6,,,,,,,,2558,97,89,103,96,"63,125,250,500,1000,2000,4000,8000","81.49,90.99,94.16,85.59,79.61,80.01,76.18,71.64","54.92,77.35,84.21,81.66,79.54,81.16,77.18,70.65","84.77,94.48,101.36,91.45,88.98,89.56,85.46,79.04","59.26,80.82,90.77,88.15,88.87,90.71,86.45,78.15",50,400,13.19,220,744,12312,1684,1703,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,2,EC,10.0
91,GR45IZID.GG.CR,116903/A01,Portfolio STDWW G1,450,13000,1500,21,1521,5,2332,8421,65.2,64.3,,,,,,,,2515,94,87,101,95,"63,125,250,500,1000,2000,4000,8000","79.57,87.78,92.20,84.39,78.49,78.56,74.58,70.56","52.59,74.16,82.10,80.49,78.42,79.72,75.58,69.54","83.23,92.28,98.42,90.15,87.92,88.77,84.78,78.55","57.56,78.63,87.88,86.90,87.82,89.92,85.77,77.67",50,400,12.84,220,873,13561,1632,1655,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,2,EC,10.0
92,GR40IZID.GG.CR,116897/A01,Portfolio STDWW G1,400,11000,1500,24,1524,5,2306,7045,66.1,65.1,,,,,,,,2846,92,86,100,97,"63,125,250,500,1000,2000,4000,8000","77.71,76.58,90.45,83.17,78.57,79.66,74.95,70.96","51.09,62.19,80.48,79.39,78.44,80.84,75.95,69.87","81.94,82.73,97.11,89.22,89.01,91.82,87.63,81.74","55.99,68.24,87.06,86.07,89.02,93.00,88.59,80.86",50,400,10.74,180,934,11043,1512,1537,1.16,3,400,,50,3.7,,,2860,55,"72,7","77,3",62,55,155,,3~ 400V 50Hz ,550,550,458,34,Нет,ZAbluefin,0.0,2,EC,7.4
93,GR40IZID.GG.CR,116897/A01,Portfolio STDWW G1,400,10000,1500,20,1520,5,2383,6619,63.8,62.9,,,,,,,,2801,93,87,101,97,"63,125,250,500,1000,2000,4000,8000","77.86,80.42,91.42,83.90,78.44,79.91,75.78,70.68","51.52,66.46,81.40,79.99,78.31,81.08,76.78,69.70","82.73,85.80,98.82,89.45,88.80,91.45,87.36,81.26","56.98,71.71,88.53,86.21,88.80,92.63,88.32,80.40",50,400,10.11,180,772,10199,1560,1581,1.16,3,400,,50,3.7,,,2860,55,"72,7","77,3",62,55,155,,3~ 400V 50Hz ,550,550,458,34,Нет,ZAbluefin,0.0,2,EC,7.4
94,GR40IZID.GG.CR,117337/A01,Portfolio STDWW G1,400,14000,1200,40,1240,4,1781,6926,69.6,67.4,,,,,,,,2803,89,85,97,96,"63,125,250,500,1000,2000,4000,8000","79.04,75.78,85.66,82.67,77.36,78.07,73.24,76.01","53.10,59.62,76.94,79.26,77.21,79.25,74.23,74.38","81.76,80.42,92.92,88.33,88.01,91.14,87.10,83.20","56.03,65.05,84.14,85.38,88.04,92.32,88.06,82.01",50,400,10.57,180,1512,14290,1250,1292,1.16,3,400,,50,3.7,,,2860,55,"72,7","77,3",62,55,155,,3~ 400V 50Hz ,550,550,458,34,Нет,ZAbluefin,0.0,2,EC,7.4
95,GR40IZID.GG.CR,117337/A01,Portfolio STDWW G1,400,15000,900,46,946,4,1421,5919,66.6,63.3,,,,,,,,2688,91,85,97,95,"63,125,250,500,1000,2000,4000,8000","83.39,81.35,86.87,82.73,76.70,77.16,72.86,79.93","58.21,64.97,77.61,79.00,76.50,78.33,73.83,78.21","84.10,83.85,90.87,88.60,87.43,90.11,86.00,84.70","58.31,68.33,81.52,85.64,87.45,91.28,86.96,83.21",60,400,9.06,180,1736,15927,1015,1066,1.16,3,400,,60,3.7,,,2860,55,"72,7","77,3",62,55,155,,3~ 400V 60Hz ,550,550,458,34,Нет,ZAbluefin,0.0,2,EC,7.4
